,Unnamed: 0,A_ID,A_Link,A_LinkNum,A_Timestr,A_Cat,A_Auth,A_Title1,A_Title2,A_Paragraphs,A_Words,A_Characters
122174,122174,32983,http://www.alriyadh.com/1796340,1796340,"&nbsp; 
						
													2019-12-31 13:02:31",أخبار المناطق,تبوك - واس,,أمير تبوك يلتقي أهالي المنطقة,3,96,582
217310,217310,261240,http://www.alriyadh.com/1671180,1671180,"&nbsp; 
						
													الثلاثاء 10 رجب   1439هـ   - 27  مارس   2018م",دنيا الرياضة,المدينة المنورة- صالح الحبيشي,,صدارة الوحدة تمر عبر منعطف هجر,4,148,899
139214,139214,39171,http://www.alriyadh.com/1792953,1792953,"&nbsp; 
						
													الخميس 15 ربيع الآخر   1441هـ   -12  ديسمبر   2019م",ثقافة اليوم,محاضرة «من حقوق الإنسان إلى حقوق الإنسانية» للعبادي,,مدير الإيسيسكو: حقوق الإنسان «ثقافة» تراعي المجموعات البشرية,4,460,2993
518337,518337,555529,http://www.alriyadh.com/1506691,1506691,"&nbsp; 
						
													2016-05-27 17:09:17",الأخبار المصورة,أعلنت دولة البيرو عن حالة الطوارئ لمدة 60 يوماً في أحد المناطق النائية في الأمازون للحد من تسمم الزئبق جراء تعدين الذهب المفرط . (رويترز),,آفة تعدين الذهب,0,0,0
31434,31434,358621,http://www.alriyadh.com/1617573,1617573,"&nbsp; 
						
													السبت 27 ذو القعدة   1438هـ   - 19 أغسطس   2017م -28 برج الأسد",المحليات,الطلاب أثناء الزيارة,,هيئة السياحة تنظم رحلة إلى الباحة لطلاب نادي عمير الموسمي بالرياض,2,109,676
66358,66358,475544,http://www.alriyadh.com/1550584,1550584,"&nbsp; 
						
													الأحد 27 صفر 1438 هـ - 27 نوفمبر 2016م",فن,يونس سلمان,,«هنا الخليج العربي» تنطلق من البحرين وتناقش قضايا خليجية,1,156,1005
528336,528336,560592,http://www.alriyadh.com/1503923,1503923,"&nbsp; 
						
													الأربعاء 11 شعبان 1437 هـ- 18 مايو 2016م",الأخــيــرة,الرياض - منصور الحسين,,مـنـع الـمـدارس مـن حـرمـان أي طـالـــب من دخول الاختبار إلا بقرار من مدير التعليم,1,148,968
310750,310750,103387,http://www.alriyadh.com/1757849,1757849,"&nbsp; 
						
													2019-05-27 12:48:22",دنيا الرياضة,لندن – د ب أ,,«الستي» يسارع لتجديد عقد ساني والبايرن يترقب,4,89,497
323220,323220,520380,http://www.alriyadh.com/1526059,1526059,"&nbsp; 
						
													الاثنين 12 ذو القعدة 1437 هـ - 15 أغسطس 2016م",الاقتصاد,,,«الاتصالات السعودية» تطلق عرض «التجوال الجوي» داخل مقصورة الطائرة,3,150,923
420337,420337,313602,http://www.alriyadh.com/1642363,1642363,"&nbsp; 
						
													2017-11-30 01:40:34",الدولية,أبيدجان - أ ف ب,,ماكرون: اتفاق دولي لتنفيذ عمليات إجلاء طارئة للمهاجرين من ليبيا,2,70,495
